Journal Title,Imprint,Print ISSN,Electronic ISSN,Journal URL,Publishing Model,License Options,Subject Areas
Adult Learning,SAGE,1045-1595,2162-4070,https://journals.sagepub.com/loi/ALX,Hybrid,CC BY,Education
Advances in Applied Ceramics,SAGE,1743-6753,1743-6761,https://journals.sagepub.com/loi/AAC,Hybrid,CC BY,
Advances in Communication and Swallowing,SAGE,2772-5383,2772-5391,https://journals.sagepub.com/loi/CSW,Hybrid,CC BY,Clinical Medicine
Advances in Dental Research,SAGE,0895-9374,1544-0737,https://journals.sagepub.com/loi/ADR,Hybrid,CC BY,Clinical Medicine
Advances in Developing Human Resources,SAGE,1523-4223,1552-3055,https://journals.sagepub.com/loi/ADH,Hybrid,CC BY,Business & Management
Advances in Structural Engineering,SAGE,1369-4332,2048-4011,https://journals.sagepub.com/loi/ASE,Hybrid,CC BY,Materials Science & Engineering
Affilia,SAGE,0886-1099,1552-3020,https://journals.sagepub.com/loi/AFF,Hybrid,CC BY,Sociology
Agrarian South: Journal of Political Economy,SAGE,2277-9760,2321-0281,https://journals.sagepub.com/loi/AGS,Hybrid,CC BY,Economics & Development Studies
Alexandria,SAGE,0955-7490,2050-4551,https://journals.sagepub.com/loi/ALA,Hybrid,CC BY,Vocational & Professional Studies
Algorithmic Finance,SAGE,2158-5571,2157-6203,https://journals.sagepub.com/loi/ALG,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Alternative Law Journal,SAGE,1037-969X,2398-9084,https://journals.sagepub.com/loi/ALJ,Hybrid,CC BY,Vocational & Professional Studies
AlterNative: An International Journal of Indigenous Peoples,SAGE,1177-1801,1174-1740,https://journals.sagepub.com/loi/ALN,Hybrid,CC BY,Area & Ethnic Studies
Alternatives,SAGE,0304-3754,2163-3150,https://journals.sagepub.com/loi/ALT,Hybrid,CC BY,Political Science & International Relations
Alternatives to Laboratory Animals,SAGE,0261-1929,2632-3559,https://journals.sagepub.com/loi/ATL,Hybrid,CC BY,
American Behavioral Scientist,SAGE,0002-7642,1552-3381,https://journals.sagepub.com/loi/ABS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
American Educational Research Journal,SAGE,0002-8312,1935-1011,https://journals.sagepub.com/loi/AER,Hybrid,CC BY,Education
American Journal of Evaluation,SAGE,1098-2140,1557-0878,https://journals.sagepub.com/loi/AJE,Hybrid,CC BY,Research Methods & Evaluation
American Journal of Health Promotion,SAGE,0890-1171,2168-6602,https://journals.sagepub.com/loi/AHP,Hybrid,CC BY,Public Health
American Journal of Hospice and Palliative Medicine®,SAGE,1049-9091,1938-2715,https://journals.sagepub.com/loi/AJH,Hybrid,CC BY,Clinical Medicine
American Journal of Lifestyle Medicine,SAGE,1559-8276,1559-8284,https://journals.sagepub.com/loi/AJL,Hybrid,CC BY,Clinical Medicine
American Journal of Rhinology & Allergy,SAGE,1945-8924,1945-8932,https://journals.sagepub.com/loi/AJR,Hybrid,CC BY,Clinical Medicine
American Politics Research,SAGE,1532-673X,1552-3373,https://journals.sagepub.com/loi/APR,Hybrid,CC BY,Political Science & International Relations
American Sociological Review,SAGE,0003-1224,1939-8271,https://journals.sagepub.com/loi/ASR,Hybrid,CC BY,Sociology
American String Teacher,SAGE,0003-1313,2515-4842,https://journals.sagepub.com/loi/STA,Hybrid,CCBY,Education
Anaesthesia and Intensive Care,SAGE,0310-057X,1448-0271,https://journals.sagepub.com/loi/AIC,Hybrid,CC BY,Other Health Specialties
Angiology,SAGE,0003-3197,1940-1574,https://journals.sagepub.com/loi/ANG,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
Anglican Theological Review,SAGE,0003-3286,2163-6214,https://journals.sagepub.com/loi/ATR,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Animation,SAGE,1746-8477,1746-8485,https://journals.sagepub.com/loi/ANM,Hybrid,CC BY,Communication & Media Studies
Annals of Clinical Biochemistry,SAGE,0004-5632,1758-1001,https://journals.sagepub.com/loi/ACB,Hybrid,CC BY,
Annals of Clinical Psychiatry,SAGE,1040-1237,1547-3325,https://journals.sagepub.com/loi/ACY,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
"Annals of Otology, Rhinology & Laryngology",SAGE,0003-4894,1943-572X,https://journals.sagepub.com/loi/AOR,Hybrid,CC BY,Clinical Medicine
Annals of Pharmacotherapy,SAGE,1060-0280,1542-6270,https://journals.sagepub.com/loi/AOP,Hybrid,CC BY,Pharmacology & Toxicology
Annals of the ICRP,SAGE,0146-6453,1872-969X,https://journals.sagepub.com/loi/ANI,Hybrid,CC BY,Clinical Medicine
Anthropological Theory,SAGE,1463-4996,1741-2641,https://journals.sagepub.com/loi/ANT,Hybrid,CC BY,Anthropology & Archaeology
ANTYAJAA: Indian Journal of Women and Social Change,SAGE,2455-6327,2456-3722,https://journals.sagepub.com/loi/JWS,Hybrid,CC BY,Sociology
Applied Earth Science,SAGE,2572-6838,2572-6846,https://journals.sagepub.com/loi/APE,Hybrid,CC BY,
Applied Ontology,SAGE,1570-5838,1875-8533,https://journals.sagepub.com/loi/APO,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Applied Psychological Measurement,SAGE,0146-6216,1552-3497,https://journals.sagepub.com/loi/APM,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Applied Spectroscopy,SAGE,0003-7028,1943-3530,https://journals.sagepub.com/loi/ASP,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Archive for the Psychology of Religion,SAGE,0084-6724,1573-6121,https://journals.sagepub.com/loi/PRJ,Hybrid,CCBY,"Religion, Theology and Biblical Studies"
Argument & Computation,SAGE,1946-2166,1946-2174,https://journals.sagepub.com/loi/ARG,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Armed Forces & Society,SAGE,0095-327X,1556-0848,https://journals.sagepub.com/loi/AFS,Hybrid,CC BY,Political Science & International Relations
Arthaniti: Journal of Economic Theory and Practice,SAGE,0976-7479,2517-2654,https://journals.sagepub.com/loi/ATH,Hybrid,CC BY,Economics & Development Studies
Arts and Humanities in Higher Education,SAGE,1474-0222,1741-265X,https://journals.sagepub.com/loi/AHH,Hybrid,CC BY,Arts & Humanities
Asia Pacific Journal of Public Health,SAGE,1010-5395,1941-2479,https://journals.sagepub.com/loi/APH,Hybrid,CC BY,Public Health
Asian and Pacific Migration Journal,SAGE,0117-1968,2057-049X,https://journals.sagepub.com/loi/AMJ,Hybrid,CC BY,Area & Ethnic Studies
Asian Cardiovascular and Thoracic Annals,SAGE,0218-4923,1816-5370,https://journals.sagepub.com/loi/AAN,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
Asian Journal of Comparative Politics,SAGE,2057-8911,2057-892X,https://journals.sagepub.com/loi/ACP,Hybrid,CCBY,Political Science & International Relations
Asian Journal of Legal Education,SAGE,2322-0058,2348-2451,https://journals.sagepub.com/loi/ALE,Hybrid,CC BY,Criminology & Criminal Justice
Asian Journal of Management Cases,SAGE,0972-8201,0973-0621,https://journals.sagepub.com/loi/AJC,Hybrid,CC BY,Business & Management
Asia-Pacific Journal of Management Research and Innovation,SAGE,2319-510X,2321-0729,https://journals.sagepub.com/loi/ABR,Hybrid,CC BY,Business & Management
Asia-Pacific Journal of Rural Development,SAGE,1018-5291,2074-0131,https://journals.sagepub.com/loi/JRD,Hybrid,CC BY,Economics & Development Studies
Assessment,SAGE,1073-1911,1552-3489,https://journals.sagepub.com/loi/ASM,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Assessment for Effective Intervention,SAGE,1534-5084,1938-7458,https://journals.sagepub.com/loi/AEI,Hybrid,CC BY,Education
Asymptotic Analysis,SAGE,0921-7134,1875-8576,https://journals.sagepub.com/loi/ASY,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Australasian Journal of Early Childhood,SAGE,1836-9391,1839-5961,https://journals.sagepub.com/loi/AEC,Hybrid,CC BY,Education
Australasian Marketing Journal,SAGE,1441-3582,1839-3349,https://journals.sagepub.com/loi/ANZ,Hybrid,CC BY,
Australasian Psychiatry,SAGE,1039-8562,1440-1665,https://journals.sagepub.com/loi/APY,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Australian & New Zealand Journal of Psychiatry,SAGE,0004-8674,1440-1614,https://journals.sagepub.com/loi/ANP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Australian Journal of Career Development,SAGE,1038-4162,2200-6974,https://journals.sagepub.com/loi/ACD,Hybrid,CC BY,Education
Australian Journal of Education,SAGE,0004-9441,2050-5884,https://journals.sagepub.com/loi/AED,Hybrid,CC BY,Education
Australian Journal of Management,SAGE,0312-8962,1327-2020,https://journals.sagepub.com/loi/AUM,Hybrid,CC BY,Business & Management
Autism,SAGE,1362-3613,1461-7005,https://journals.sagepub.com/loi/AUT,Hybrid,CCBY,Education
Avian Biology Research,SAGE,1758-1559,1758-1567,https://journals.sagepub.com/loi/AVB,Hybrid,CC BY,Other Health Specialties
Behavior Modification,SAGE,0145-4455,1552-4167,https://journals.sagepub.com/loi/BMO,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Behavioral Disorders,SAGE,0198-7429,2163-5307,https://journals.sagepub.com/loi/BHD,Hybrid,CC BY,Education
Belonging,SAGE,3029-0805,3029-0805,https://journals.sagepub.com/loi/BEL,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Beyond Behavior,SAGE,1074-2956,2163-5323,https://journals.sagepub.com/loi/BBX,Hybrid,CC BY,Education
Biblical Theology Bulletin,SAGE,0146-1079,1945-7596,https://journals.sagepub.com/loi/BTB,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Biological Research For Nursing,SAGE,1099-8004,1552-4175,https://journals.sagepub.com/loi/BRN,Hybrid,CC BY,Nursing
Bio-Medical Materials and Engineering,SAGE,0959-2989,1878-3619,https://journals.sagepub.com/loi/BME,Hybrid,CC BY,Materials Science & Engineering
Biorheology,SAGE,0006-355X,1878-5034,https://journals.sagepub.com/loi/BRH,Hybrid,CC BY,Clinical Medicine
BioScope: South Asian Screen Studies,SAGE,0974-9276,0976-352X,https://journals.sagepub.com/loi/BIO,Hybrid,CC BY,Communication & Media Studies
Body & Society,SAGE,1357-034X,1460-3632,https://journals.sagepub.com/loi/BOD,Hybrid,CC BY,Anthropology & Archaeology
Bridge Structures,SAGE,1573-2487,1744-8999,https://journals.sagepub.com/loi/BRS,Hybrid,CC BY,Materials Science & Engineering
British Journal of Music Therapy,SAGE,1359-4575,2059-9773,https://journals.sagepub.com/loi/BJM,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
British Journal of Occupational Therapy,SAGE,0308-0226,1477-6006,https://journals.sagepub.com/loi/BJO,Hybrid,CC BY,Other Health Specialties
British Journal of Pain,SAGE,2049-4637,2049-4645,https://journals.sagepub.com/loi/BJP,Hybrid,CC BY,Clinical Medicine
British Journal of Visual Impairment,SAGE,0264-6196,1744-5809,https://journals.sagepub.com/loi/JVI,Hybrid,CC BY,Aging & Gerontology
British Journalism Review,SAGE,0956-4748,1741-2668,https://journals.sagepub.com/loi/BJR,Hybrid,CC BY,Communication & Media Studies
Building Acoustics,SAGE,1351-010X,2059-8025,https://journals.sagepub.com/loi/BUA,Hybrid,CC BY,Materials Science & Engineering
Building Services Engineering Research & Technology,SAGE,0143-6244,1477-0849,https://journals.sagepub.com/loi/BSE,Hybrid,CC BY,Materials Science & Engineering
"Bulletin of Science, Technology & Society",SAGE,0270-4676,1552-4183,https://journals.sagepub.com/loi/BST,Hybrid,CC BY,Sociology
Bulletin of Sociological Methodology/Bulletin de Méthodologie Sociologique,SAGE,0759-1063,2070-2779,https://journals.sagepub.com/loi/BMS,Hybrid,CC BY,Sociology
Business & Society,SAGE,0007-6503,1552-4205,https://journals.sagepub.com/loi/BAS,Hybrid,CC BY,Business & Management
Business and Professional Communication Quarterly,SAGE,2329-4906,2329-4922,https://journals.sagepub.com/loi/BCQ,Hybrid,CC BY,Business & Management
Business Information Review,SAGE,0266-3821,1741-6450,https://journals.sagepub.com/loi/BIR,Hybrid,CC BY,Business & Management
Business Perspectives and Research,SAGE,2278-5337,2394-9937,https://journals.sagepub.com/loi/BPR,Hybrid,CC BY,Business & Management
Cahiers Élisabéthains,SAGE,0184-7678,2054-4715,https://journals.sagepub.com/loi/CAE,Hybrid,CC BY,Arts & Humanities
Calcutta Statistical Association Bulletin,SAGE,0008-0683,2456-6462,https://journals.sagepub.com/loi/CSA,Hybrid,CC BY,Research Methods & Evaluation
California Management Review,SAGE,0008-1256,2162-8564,https://journals.sagepub.com/loi/CMR,Hybrid,CC BY,Business & Management
Canadian Association of Radiologists Journal,SAGE,0846-5371,1488-2361,https://journals.sagepub.com/loi/CAJ,Hybrid,CCBY,
Canadian Journal of Nursing Research,SAGE,0844-5621,1705-7051,https://journals.sagepub.com/loi/CJN,Hybrid,CC BY,Nursing
Canadian Journal of Occupational Therapy,SAGE,0008-4174,1911-9828,https://journals.sagepub.com/loi/CJO,Hybrid,CC BY,Other Health Specialties
Canadian Journal of School Psychology,SAGE,0829-5735,2154-3984,https://journals.sagepub.com/loi/CJS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Capital & Class,SAGE,0309-8168,2041-0980,https://journals.sagepub.com/loi/CNC,Hybrid,CC BY,Economics & Development Studies
Career Development and Transition for Exceptional Individuals,SAGE,2165-1434,2165-1442,https://journals.sagepub.com/loi/CDE,Hybrid,CC BY,Education
Cellular Polymers,SAGE,0262-4893,1478-2421,https://journals.sagepub.com/loi/CRP,Hybrid,CC BY,Materials Science & Engineering
Child Language Teaching and Therapy,SAGE,0265-6590,1477-0865,https://journals.sagepub.com/loi/CLT,Hybrid,CC BY,Language & Linguistics
Child Maltreatment,SAGE,1077-5595,1552-6119,https://journals.sagepub.com/loi/CMX,Hybrid,CC BY,Criminology & Criminal Justice
Childhood,SAGE,0907-5682,1461-7013,https://journals.sagepub.com/loi/CHD,Hybrid,CC BY,Anthropology & Archaeology
China Information,SAGE,0920-203X,1741-590X,https://journals.sagepub.com/loi/CIN,Hybrid,CC BY,Area & Ethnic Studies
China Report,SAGE,0009-4455,0973-063X,https://journals.sagepub.com/loi/CHR,Hybrid,CC BY,Area & Ethnic Studies
Chinese Journal of Sociology,SAGE,2057-150X,2057-1518,https://journals.sagepub.com/loi/CHS,Hybrid,CC BY,Sociology
Chinese Journal of Transnational Law,SAGE,2753-412X,2753-412X,https://journals.sagepub.com/loi/CTL,Hybrid,CC BY,
Chinese Public Administration Review,SAGE,1539-6754,2573-1483,https://journals.sagepub.com/loi/CPP,Hybrid,CCBY,
Christian Education Journal,SAGE,0739-8913,2378-525X,https://journals.sagepub.com/loi/CEJ,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Chronic Illness,SAGE,1742-3953,1745-9206,https://journals.sagepub.com/loi/CHI,Hybrid,CC BY,Clinical Medicine
"Citizenship, Social and Economics Education",SAGE,1478-8047,2047-1734,https://journals.sagepub.com/loi/CSE,Hybrid,CC BY,Education
City & Community,SAGE,1535-6841,1540-6040,https://journals.sagepub.com/loi/CTY,Hybrid,CCBY,Sociology
Clin-Alert,SAGE,0069-4770,1530-812X,https://journals.sagepub.com/loi/CLA,Hybrid,CC BY,Pharmacology & Toxicology
Clinical Case Studies,SAGE,1534-6501,1552-3802,https://journals.sagepub.com/loi/CCS,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Clinical Child Psychology and Psychiatry,SAGE,1359-1045,1461-7021,https://journals.sagepub.com/loi/CCP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Clinical EEG and Neuroscience,SAGE,1550-0594,2169-5202,https://journals.sagepub.com/loi/EEG,Hybrid,CC BY,Neurology
Clinical Ethics,SAGE,1477-7509,1758-101X,https://journals.sagepub.com/loi/CET,Hybrid,CC BY,
Clinical Hemorheology and Microcirculation,SAGE,1386-0291,1875-8622,https://journals.sagepub.com/loi/CHM,Hybrid,CC BY,Clinical Medicine
Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders,SAGE,1179-5441,1179-5441,https://journals.sagepub.com/loi/AMD,Hybrid,CC BY,Clinical Medicine
Clinical Medicine Insights: Pediatrics,SAGE,1179-5565,1179-5565,https://journals.sagepub.com/loi/PDI,Hybrid,CC BY,Clinical Medicine
Clinical Nursing Research,SAGE,1054-7738,1552-3799,https://journals.sagepub.com/loi/CNR,Hybrid,CC BY,Nursing
Clinical Pediatrics,SAGE,0009-9228,1938-2707,https://journals.sagepub.com/loi/CPJ,Hybrid,CC BY,Clinical Medicine
Clinical Practice in Pediatric Psychology,SAGE,2169-4826,2169-4834,https://journals.sagepub.com/loi/PPX,Hybrid,CC BY,Clinical Medicine
Clinical Psychological Science,SAGE,2167-7026,2167-7034,https://journals.sagepub.com/loi/CPX,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Clinical Rehabilitation,SAGE,0269-2155,1477-0873,https://journals.sagepub.com/loi/CRE,Hybrid,CC BY,Neurology
Clinical Trials,SAGE,1740-7745,1740-7753,https://journals.sagepub.com/loi/CTJ,Hybrid,CC BY,Pharmacology & Toxicology
Clothing and Textiles Research Journal,SAGE,0887-302X,1940-2473,https://journals.sagepub.com/loi/CTR,Hybrid,CC BY,Business & Management
Coastal Studies & Society,SAGE,2634-9817,2634-9817,https://journals.sagepub.com/loi/CLS,Hybrid,CC BY,
Collections,SAGE,1550-1906,-,https://journals.sagepub.com/loi/CJX,Hybrid,CC BY,Sociology
Common Law World Review,SAGE,1473-7795,1740-5556,https://journals.sagepub.com/loi/CLW,Hybrid,CC BY,Vocational & Professional Studies
Communication & Sport,SAGE,2167-4795,2167-4809,https://journals.sagepub.com/loi/COM,Hybrid,CC BY,Communication & Media Studies
Communication Disorders Quarterly,SAGE,1525-7401,1538-4837,https://journals.sagepub.com/loi/CDQ,Hybrid,CC BY,Education
Communication Research,SAGE,0093-6502,1552-3810,https://journals.sagepub.com/loi/CRX,Hybrid,CC BY,Communication & Media Studies
Community College Review,SAGE,0091-5521,1940-2325,https://journals.sagepub.com/loi/CRW,Hybrid,CC BY,Education
Community Dental Health,SAGE,0265-539X,2515-1746,https://journals.sagepub.com/loi/CDH,Hybrid,CC BY,Other Health Specialties
Community Health Equity Research & Policy,SAGE,2752-535X,2752-5368,https://journals.sagepub.com/loi/QCH,Hybrid,CC BY,Public Health
Comparative Political Studies,SAGE,0010-4140,1552-3829,https://journals.sagepub.com/loi/CPS,Hybrid,CC BY,Political Science & International Relations
Compensation & Benefits Review,SAGE,0886-3687,1552-3837,https://journals.sagepub.com/loi/CBR,Hybrid,CC BY,Business & Management
Competition & Change,SAGE,1024-5294,1477-2221,https://journals.sagepub.com/loi/CCH,Hybrid,CC BY,Business & Management
Competition and Regulation in Network Industries,SAGE,1783-5917,2399-2956,https://journals.sagepub.com/loi/CRN,Hybrid,CC BY,Business & Management
Computability,SAGE,2211-3568,2211-3576,https://journals.sagepub.com/loi/COE,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Concurrent Engineering,SAGE,1063-293X,1531-2003,https://journals.sagepub.com/loi/CER,Hybrid,CC BY,Materials Science & Engineering
Conflict Management and Peace Science,SAGE,0738-8942,1549-9219,https://journals.sagepub.com/loi/CMP,Hybrid,CC BY,Political Science & International Relations
Contemporary Drug Problems,SAGE,0091-4509,2163-1808,https://journals.sagepub.com/loi/CDX,Hybrid,CC BY,Criminology & Criminal Justice
Contemporary Education Dialogue,SAGE,0973-1849,2249-5320,https://journals.sagepub.com/loi/CED,Hybrid,CC BY,Education
Contemporary Issues in Early Childhood,SAGE,1463-9491,1463-9491,https://journals.sagepub.com/loi/CIE,Hybrid,CC BY,Education
Contemporary Review of the Middle East,SAGE,2347-7989,2349-0055,https://journals.sagepub.com/loi/CME,Hybrid,CC BY,Economics & Development Studies
Contemporary Sociology,SAGE,0094-3061,1939-8638,https://journals.sagepub.com/loi/CSX,Hybrid,CC BY,Sociology
Contemporary Voice of Dalit,SAGE,2455-328X,2456-0502,https://journals.sagepub.com/loi/VOD,Hybrid,CC BY,Sociology
Contexts,SAGE,1536-5042,1537-6052,https://journals.sagepub.com/loi/CTX,Hybrid,CC BY,Sociology
Contributions to Indian Sociology,SAGE,0069-9659,0973-0648,https://journals.sagepub.com/loi/CIS,Hybrid,CC BY,Sociology
Convergence,SAGE,1354-8565,1748-7382,https://journals.sagepub.com/loi/CON,Hybrid,CC BY,Communication & Media Studies
Cooperation and Conflict,SAGE,0010-8367,1460-3691,https://journals.sagepub.com/loi/CAC,Hybrid,CC BY,Political Science & International Relations
Cornell Hospitality Quarterly,SAGE,1938-9655,1938-9663,https://journals.sagepub.com/loi/CQX,Hybrid,CC BY,Marketing & Hospitality
"Corrosion Engineering, Science and Technology",SAGE,1478-422X,1743-2782,https://journals.sagepub.com/loi/CES,Hybrid,CC BY,
Creative Nursing,SAGE,1078-4535,1946-1895,https://journals.sagepub.com/loi/CNG,Hybrid,CC BY,Nursing
Crime & Delinquency,SAGE,0011-1287,1552-387X,https://journals.sagepub.com/loi/CAD,Hybrid,CC BY,Criminology & Criminal Justice
"Crime, Media, Culture",SAGE,1741-6590,1741-6604,https://journals.sagepub.com/loi/CMC,Hybrid,CC BY,Criminology & Criminal Justice
Criminal Justice and Behavior,SAGE,0093-8548,1552-3594,https://journals.sagepub.com/loi/CJB,Hybrid,CC BY,Criminology & Criminal Justice
Criminal Justice Policy Review,SAGE,0887-4034,1552-3586,https://journals.sagepub.com/loi/CJP,Hybrid,CC BY,Criminology & Criminal Justice
Criminal Justice Review,SAGE,0734-0168,1556-3839,https://journals.sagepub.com/loi/CJR,Hybrid,CC BY,Criminology & Criminal Justice
Criminology & Criminal Justice,SAGE,1748-8958,1748-8966,https://journals.sagepub.com/loi/CRJ,Hybrid,CC BY,Criminology & Criminal Justice
Critical Research on Religion,SAGE,2050-3032,2050-3040,https://journals.sagepub.com/loi/CRR,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Critical Reviews in Oral Biology & Medicine,SAGE,1045-4411,1544-1113,https://journals.sagepub.com/loi/CRO,Hybrid,CC BY,
Critical Social Policy,SAGE,0261-0183,1461-703X,https://journals.sagepub.com/loi/CSP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Critical Sociology,SAGE,0896-9205,1569-1632,https://journals.sagepub.com/loi/CRS,Hybrid,CC BY,Sociology
Critical Studies in Television,SAGE,1749-6020,1749-6039,https://journals.sagepub.com/loi/CST,Hybrid,CC BY,Communication & Media Studies
Critique of Anthropology,SAGE,0308-275X,1460-3721,https://journals.sagepub.com/loi/COA,Hybrid,CC BY,Anthropology & Archaeology
Cross-Cultural Research,SAGE,1069-3971,1552-3578,https://journals.sagepub.com/loi/CCR,Hybrid,CC BY,Sociology
Cultural Dynamics,SAGE,0921-3740,1461-7048,https://journals.sagepub.com/loi/CDY,Hybrid,CC BY,Anthropology & Archaeology
cultural geographies,SAGE,1474-4740,1477-0881,https://journals.sagepub.com/loi/CGJ,Hybrid,CC BY,Cultural Studies
Cultural Sociology,SAGE,1749-9755,1749-9763,https://journals.sagepub.com/loi/CUS,Hybrid,CC BY,Sociology
Cultural Studies ? Critical Methodologies,SAGE,1532-7086,1552-356X,https://journals.sagepub.com/loi/CSC,Hybrid,CC BY,Cultural Studies
Culture & Psychology,SAGE,1354-067X,1461-7056,https://journals.sagepub.com/loi/CAP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Culture and Education,SAGE,1135-6405,1578-4118,https://journals.sagepub.com/loi/CYE,Hybrid,CC BY,
Current Directions in Psychological Science,SAGE,0963-7214,1467-8721,https://journals.sagepub.com/loi/CDP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Current Sociology,SAGE,0011-3921,1461-7064,https://journals.sagepub.com/loi/CSI,Hybrid,CC BY,Sociology
Currents in Biblical Research,SAGE,1476-993X,1745-5200,https://journals.sagepub.com/loi/CBI,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Dementia,SAGE,1471-3012,1741-2684,https://journals.sagepub.com/loi/DEM,Hybrid,CC BY,Aging & Gerontology
Design for Augmented Humanity,SAGE,2977-6481,2977-649X,https://journals.sagepub.com/loi/DAH,Hybrid,CC BY,
Designing,SAGE,3049-7671,3049-7671,https://journals.sagepub.com/loi/DES,Hybrid,CC BY,
Developmental Child Welfare,SAGE,2516-1032,2516-1040,https://journals.sagepub.com/loi/DCW,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Dialogues in AI & Society,SAGE,-,-,https://journals.sagepub.com/loi/DAI,Hybrid,CC BY,
Dialogues in Human Geography,SAGE,2043-8206,2043-8214,https://journals.sagepub.com/loi/DHG,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Dialogues in Innovation & Entrepreneurship,SAGE,-,-,https://journals.sagepub.com/loi/DEI,Hybrid,CC BY,
Dialogues in Management,SAGE,3049-7523,3049-7523,https://journals.sagepub.com/loi/DMA,Hybrid,CC BY,Business & Management
Dialogues in Sociology,SAGE,2976-8667,2976-8667,https://journals.sagepub.com/loi/DSS,Hybrid,CC BY,
Dialogues in Urban Research,SAGE,2754-1258,2754-1258,https://journals.sagepub.com/loi/DUS,Hybrid,CC BY,
Dialogues on Climate Change,SAGE,2976-8659,2976-8659,https://journals.sagepub.com/loi/DCC,Hybrid,CC BY,
